
# Sources Go API

| Package | Function Signature |
|---|---|
| syscall | Mprotect([]uint8,  int) error |
| syscall | Sync() error |
| syscall | GetsockoptByte(int,  int,  int) uint8,  erroruint8,  error(uint8,  erroruint8,  error) |
| syscall | LsfJump(int,  int,  int,  int) \*SockFilter |
| syscall | Sendmsg(int,  []uint8,  []uint8,  Sockaddr,  int) error |
| syscall | DnsQuery(string,  uint16,  uint32,  \*uint8,  \*\*DNSRecord,  \*uint8) error |
| syscall | SetsockoptIPv6Mreq(Handle,  int,  int,  \*IPv6Mreq) error |
| syscall | Fchdir(Handle) error |
| syscall | OpenProcessToken(Handle,  uint32,  \*Token) error |
| syscall | Getpeername(Handle) Sockaddr,  errorSockaddr,  error(Sockaddr,  errorSockaddr,  error) |
| syscall | SetsockoptIPMreq(Handle,  int,  int,  \*IPMreq) error |
| syscall | ReadDirectoryChanges(Handle,  \*uint8,  uint32,  bool,  uint32,  \*uint32,  \*Overlapped,  uintptr) error |
| syscall | LookupAccountName(\*uint16,  \*uint16,  \*SID,  \*uint32,  \*uint16,  \*uint32,  \*uint32) error |
| syscall | RawSyscall6(uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr,  uintptr) uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno(uintptr,  uintptr,  Errnouintptr,  uintptr,  Errno) |
| syscall | Closesocket(Handle) error |
| syscall | Setresuid(int,  int,  int) error |
| syscall | InotifyAddWatch(int,  string,  uint32) int,  errorint,  error(int,  errorint,  error) |
| syscall | Getdirentries(int,  []uint8,  \*uintptr) int,  errorint,  error(int,  errorint,  error) |
| syscall | Setlogin(string) error |
| syscall | PtraceCont(int,  int) error |
| syscall | GetEnvironmentVariable(\*uint16,  \*uint16,  uint32) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | SetBpfInterface(int,  string) error |
| syscall | Write(Handle,  []uint8) int,  errorint,  error(int,  errorint,  error) |
| syscall | GetStartupInfo(\*StartupInfo) error |
| syscall | SysctlUint32(string) uint32,  erroruint32,  error(uint32,  erroruint32,  error) |
| syscall | Setfsuid(int) error |
